OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,BuyBaseAssetVolume,BuyQuoteAssetVolume,Ignore,RSI,MACD,MACDSign,MACDHist,Change
1503928800000,4295.32,4320.9,4271.03,4273.59,67.399399,1503935999999,289613.45103883,385,7.218717,31125.89433862,11221.09608673,48.3,-3.44,-3.73,0.29,-73.41
1503936000000,4317.2,4370.45,4273.59,4324.67,65.182308,1503943199999,282086.85924003,387,4.565487,19853.98122152,11205.9556168,52.95,-0.45,-1.55,1.09,51.08
1503943200000,4324.64,4362.99,4307.22,4321.65,42.043369,1503950399999,182013.32825904,370,4.593442,19977.3973101,11179.61151073,52.65,1.68,0.6,1.07,-3.02
1503950400000,4321.65,4349.98,4290.18,4331.47,33.888641,1503957599999,146597.39626945,294,3.028382,13149.76439548,11117.44913192,53.57,4.07,2.91,1.16,9.82
1503957600000,4346.76,4399.82,4331.45,4386.69,51.45416,1503964799999,224267.97766997,307,8.121482,35577.48290024,11075.45841897,58.48,10.04,7.67,2.38,55.22
1503964800000,4353.65,4386.69,4331.46,4349.54,40.509833,1503971999999,176567.0563141,321,8.966126,39299.69305374,10971.87584758,54.32,11.84,10.45,1.39,-37.15
1503972000000,4349.55,4383.99,4314.35,4376.99,38.352241,1503979199999,166836.71084396,297,6.856167,29906.56424247,11068.04364813,56.76,15.18,13.61,1.58,27.45
1503979200000,4363.48,4404.05,4343.49,4356.76,58.030567,1503986399999,253449.75468806,365,8.243571,36139.0213779,11003.51517839,54.45,16.12,15.28,0.84,-20.23
1503986400000,4356.76,4404.07,4313.55,4329.02,70.426392,1503993599999,307204.56932356,529,22.816067,100021.39772941,10984.18242369,51.36,14.6,14.83,-0.23,-27.74
1503993600000,4328.12,4382.99,4328.12,4367.4,56.571874,1504000799999,246034.10279463,385,9.588002,41832.55183197,10882.35804154,55.15,16.11,15.69,0.43,38.38
1504000800000,4367.4,4417.61,4329.57,4368.5,31.479555,1504007999999,137460.454624,316,7.089619,31123.35221466,10911.65337353,55.26,17.21,16.7,0.51,1.1
